Player,Season,2015/16(*),2016/17(*),2017/18(*),2018/19(*),2019/20(*),2020/21(*),2021/22(*),2022/23(*),2023/24(*)
Andre Jackson Jr,2023,,,,,,,,,1152829.0
Andre Miller,2015,1962120.0,,,,,,,,
Andre Roberson,2015,1594059.0,,,,,,,,
Andre Roberson,2016,,2845707.0,,,,,,,
Andre Roberson,2017,,,11875764.0,,,,,,
Andre Roberson,2018,,,,12467806.0,,,,,
Andre Roberson,2019,,,,,13174172.0,,,,
Andre Roberson,2020,,,,,,501660.0,,,
Andrea Bargnani,2015,1794300.0,,,,,,,,
Andrew Bogut,2015,15798405.0,,,,,,,,
Andrew Bogut,2016,,14873807.0,,,,,,,
Andrew Bogut,2017,,,1383662.0,,,,,,
Andrew Bogut,2018,,,,607047.0,,,,,
Andrew Funk,2023,,,,,,,,,165636.0
Andrew Goudelock,2015,264096.0,,,,,,,,
Andrew Harrison,2016,,1231839.0,,,,,,,
Andrew Harrison,2017,,,1683531.0,,,,,,
Andrew Harrison,2018,,,,441982.0,,,,,
Andrew Nembhard,2022,,,,,,,,2379403.0,
Andrew Nembhard,2023,,,,,,,,,2195252.0
Andrew Nicholson,2015,3134131.0,,,,,,,,
Andrew Nicholson,2016,,7937205.0,,,,,,,
Andrew Nicholson,2017,,,3648214.0,,,,,,
Andrew Nicholson,2018,,,,3546378.0,,,,,
Andrew Nicholson,2020,,,,,,3466481.0,,,
Andrew Nicholson,2021,,,,,,,3289148.0,,
Andrew Nicholson,2022,,,,,,,,3015913.0,
Andrew Nicholson,2023,,,,,,,,,2928948.0
Andrew White,2017,,,99079.0,,,,,,
Andrew White,2020,,,,,,30467.0,,,
Andrew Wiggins,2015,7581497.0,,,,,,,,
Andrew Wiggins,2016,,7829803.0,,,,,,,
Andrew Wiggins,2017,,,9714692.0,,,,,,
Andrew Wiggins,2018,,,,31752073.0,,,,,
Andrew Wiggins,2019,,,,,33736104.0,,,,
Andrew Wiggins,2020,,,,,,36002595.0,,,
Andrew Wiggins,2021,,,,,,,36516749.0,,
Andrew Wiggins,2022,,,,,,,,35643458.0,
Andrew Wiggins,2023,,,,,,,,,25053308.0
Anfernee Simons,2018,,,,2291333.0,,,,,
Anfernee Simons,2019,,,,,2636566.0,,,,
Anfernee Simons,2020,,,,,,2744541.0,,,
Anfernee Simons,2021,,,,,,,4554642.0,,
Anfernee Simons,2022,,,,,,,,23667143.0,
Anfernee Simons,2023,,,,,,,,,24823461.0
