fullName,Season_x,Team,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,gamesPlayed,winPercentage,Player,Season_y,SeasonYear,Salary,Year,TS_Percentage,Simple_PER,TeamSalaryCommitment
Stanley Johnson,2016,Detroit,22.88235294117647,8.054945054945055,1.4835164835164836,0.16483516483516483,0.7692307692307693,7.857142857142857,3.010989010989011,0.3540769230769231,2.6373626373626373,0.8571428571428571,0.27042857142857146,1.4615384615384615,1.1758241758241759,0.3987252747252747,3.197802197802198,0.7252747252747253,3.923076923076923,2.318681318681319,1.4615384615384615,-1.3186813186813187,91,0.4945054945054945,Stanley Johnson,2016,2016/17,3871337.0,2016,0.4738080463336436,0.6599932201474618,
Stanley Johnson,2017,Detroit,17.426829268292682,4.25,1.2613636363636365,0.2840909090909091,0.7045454545454546,4.511363636363637,1.5909090909090908,0.3207159090909091,1.8522727272727273,0.5227272727272727,0.19828409090909094,0.7613636363636364,0.5454545454545454,0.21970454545454546,1.8181818181818181,0.42045454545454547,2.2386363636363638,1.5340909090909092,0.8863636363636364,0.10227272727272728,88,0.45454545454545453,Stanley Johnson,2017,2017/18,3973184.0,2017,0.4384730819733633,0.559025701380495,
Stanley Johnson,2018,Detroit,26.945205479452056,8.342105263157896,1.5263157894736843,0.18421052631578946,1.2894736842105263,7.776315789473684,2.9342105263157894,0.35934210526315785,3.289473684210526,0.9736842105263158,0.29047368421052633,1.9736842105263157,1.5,0.4433947368421053,3.0921052631578947,0.47368421052631576,3.5657894736842106,2.3552631578947367,1.105263157894737,-0.21052631578947367,76,0.4605263157894737,Stanley Johnson,2018,2018/19,4912815.0,2018,0.482496194824962,0.6135258074010649,
Stanley Johnson,2019,Detroit,19.86,6.777777777777778,1.1851851851851851,0.2777777777777778,0.9074074074074074,6.777777777777778,2.5185185185185186,0.3167777777777778,3.5,0.9814814814814815,0.21905555555555556,0.9814814814814815,0.7592592592592593,0.2341111111111111,3.0555555555555554,0.48148148148148145,3.537037037037037,1.7962962962962963,1.0555555555555556,-2.2222222222222223,56,0.4642857142857143,Stanley Johnson,2019,2019/20,4443830.0,2019,0.4700503441898695,0.7000857856849801,
Stanley Johnson,2019,New Orleans,13.222222222222221,3.5555555555555554,1.037037037037037,0.037037037037037035,0.4444444444444444,3.3703703703703702,1.4074074074074074,0.22462962962962962,1.2592592592592593,0.4074074074074074,0.15433333333333332,0.48148148148148145,0.3333333333333333,0.1037037037037037,1.2222222222222223,0.3333333333333333,1.5555555555555556,0.8148148148148148,0.9629629629629629,-2.888888888888889,27,0.3333333333333333,Stanley Johnson,2019,2019/20,4443830.0,2019,0.4962779156327543,0.5131652661064428,
Stanley Johnson,2020,Toronto,5.6923076923076925,0.6363636363636364,0.3090909090909091,0.07272727272727272,0.10909090909090909,0.9090909090909091,0.18181818181818182,0.06683636363636364,0.36363636363636365,0.05454545454545454,0.022727272727272728,0.34545454545454546,0.21818181818181817,0.09696363636363636,0.6181818181818182,0.10909090909090909,0.7272727272727273,0.4,0.34545454545454546,0.10909090909090909,55,0.6909090909090909,Stanley Johnson,2020,2020/21,4636085.0,2020,0.2998629198080877,0.3376167076167076,
Stanley Johnson,2021,Toronto,14.95774647887324,3.4148936170212765,1.1382978723404256,0.22340425531914893,0.574468085106383,2.9468085106382977,1.148936170212766,0.2332659574468085,1.6808510638297873,0.5531914893617021,0.17214893617021276,0.7446808510638298,0.5638297872340425,0.18473404255319148,1.5,0.3617021276595745,1.8617021276595744,1.3617021276595744,0.6702127659574468,-1.5319148936170213,94,0.4574468085106383,Stanley Johnson,2021,2021/22,1583036.0,2021,0.5214424951267056,0.5447259285971872,
Stanley Johnson,2022,Chicago,9.25,3.25,0.75,0.0,0.0,3.0,1.0,0.4165,1.75,0.75,0.375,0.5,0.5,0.25,2.25,0.25,2.5,2.0,0.5,0.0,4,1.0,Stanley Johnson,2022,2022/23,4264651.0,2022,0.5046583850931676,0.7324324324324325,
Stanley Johnson,2022,LA Lakers,22.333333333333332,6.666666666666667,1.6666666666666667,0.2916666666666667,0.8958333333333334,5.229166666666667,2.4375,0.424,2.1875,0.6875,0.25416666666666665,1.5416666666666667,1.1041666666666667,0.3993125,2.5208333333333335,0.7083333333333334,3.2291666666666665,2.2708333333333335,0.7291666666666666,-1.0208333333333333,48,0.3333333333333333,Stanley Johnson,2022,2022/23,4264651.0,2022,0.5642544787699252,0.6511194029850746,
Stanley Umude,2023,Detroit,5.75,1.7142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,1.2857142857142858,0.42857142857142855,0.1285714285714286,1.1428571428571428,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,0.2857142857142857,7,0.14285714285714285,Stanley Umude,2023,2023/24,1130875.0,2023,0.5576208178438662,0.5540372670807453,
Stephen Curry,2015,Golden State,33.02777777777778,23.55855855855856,7.171171171171171,0.1891891891891892,1.927927927927928,16.7027027027027,8.018018018018019,0.466018018018018,8.225225225225225,3.6216216216216215,0.4288468468468469,4.387387387387387,3.900900900900901,0.7808828828828829,3.4864864864864864,0.7117117117117117,4.198198198198198,2.009009009009009,3.171171171171171,10.26126126126126,111,0.8018018018018018,Stephen Curry,2015,2015/16,14970024.0,2015,0.6321677915949485,1.2045007160230037,
Stephen Curry,2016,Golden State,33.0,27.542056074766354,6.130841121495327,0.19626168224299065,1.8878504672897196,18.72897196261682,9.261682242990654,0.4755140186915888,10.532710280373832,4.691588785046729,0.4240747663551402,4.794392523364486,4.327102803738318,0.7745514018691588,4.271028037383178,0.8130841121495327,5.08411214953271,2.0186915887850465,3.317757009345794,10.233644859813085,107,0.8130841121495327,Stephen Curry,2016,2016/17,15788863.0,2016,0.6608453079310407,1.303823279524214,
Stephen Curry,2017,Golden State,32.601941747572816,24.895238095238096,6.333333333333333,0.22857142857142856,1.8095238095238095,17.552380952380954,8.285714285714286,0.4622857142857143,9.676190476190476,4.0,0.3963619047619048,4.819047619047619,4.3238095238095235,0.8046380952380952,3.8095238095238093,0.8285714285714286,4.6380952380952385,2.2095238095238097,2.942857142857143,13.047619047619047,105,0.8380952380952381,Stephen Curry,2017,2017/18,44483232.0,2017,0.6327336806026219,1.2424325704075554,
Stephen Curry,2018,Golden State,32.07142857142857,25.87142857142857,5.828571428571428,0.2857142857142857,1.5857142857142856,17.428571428571427,8.457142857142857,0.47881428571428575,9.842857142857143,4.128571428571429,0.40621428571428575,5.228571428571429,4.828571428571428,0.8590428571428572,4.628571428571429,0.6714285714285714,5.3,2.2714285714285714,2.8857142857142857,9.514285714285714,70,0.7714285714285715,Stephen Curry,2018,2018/19,46700853.0,2018,0.6556652957191682,1.2863251670378615,
